BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState
BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState
2, 0, 84, 26, -2.6829164, 60, 56, 82, 2, 52, 60, 60, 60, 19, 78, 1, 3, 33
2, 0, 84, 26, -2.6829164, 60, 56, 82, 2, 52, 60, 60, 60, 19, 78, 1, 3, 166
2, 0, 84, 26, -2.593888, 60, 56, 82, 2, 52, 60, 60, 60, 19, 75, 1, 3, 1366
2, 0, 84, 26, -2.4975026, 60, 56, 82, 2, 52, 60, 60, 60, 19, 74, 1, 3, 1499
2, 0, 83, 26, -2.4750838, 59, 55, 81, 3, 51, 59, 59, 59, 18, 73, 1, 3, 1633
2, 0, 83, 26, -2.4698696, 59, 55, 81, 3, 51, 59, 59, 59, 18, 71, 1, 3, 1766
2, 0, 82, 25, -2.5054135, 57, 53, 79, 3, 51, 59, 57, 57, 19, 70, 1, 3, 1899
2, 0, 81, 25, -2.5692391, 56, 52, 78, 4, 50, 58, 56, 56, 22, 68, 1, 3, 2033
2, 0, 81, 24, -2.584085, 55, 51, 79, 5, 51, 59, 55, 55, 21, 999999, 0, 3, 2166
2, 0, 80, 24, -2.6778078, 54, 50, 78, 6, 50, 58, 54, 54, 24, 999999, 0, 3, 2299
2, 0, 79, 24, -2.7431355, 53, 49, 77, 7, 49, 57, 53, 53, 30, 999999, 0, 3, 2433
2, 0, 78, 23, -2.7583303, 51, 47, 77, 9, 49, 57, 51, 51, 32, 999999, 0, 3, 2566
2, 0, 78, 23, -2.7618644, 51, 47, 77, 9, 49, 57, 51, 51, 32, 999999, 0, 3, 2699
2, 0, 77, 23, -2.5454953, 50, 46, 76, 10, 48, 56, 50, 50, 35, 999999, 0, 3, 2833
2, 0, 77, 22, -1.8119923, 49, 45, 77, 11, 49, 57, 49, 49, 30, 999999, 0, 3, 2966
2, 0, 77, 21, -1.8601662, 48, 44, 78, 12, 50, 58, 48, 48, 26, 999999, 0, 3, 3099
2, 0, 76, 21, -2.3365781, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 3233
2, 0, 75, 20, -2.4473734, 45, 41, 77, 15, 49, 57, 45, 45, 33, 999999, 0, 3, 3366
2, 0, 75, 20, -2.3496, 45, 41, 77, 15, 49, 57, 45, 45, 33, 999999, 0, 3, 3499
2, 0, 74, 19, -2.307851, 43, 39, 77, 17, 49, 57, 43, 43, 35, 999999, 0, 3, 3633
2, 0, 74, 19, -2.298141, 43, 39, 77, 17, 49, 57, 43, 43, 35, 999999, 0, 3, 3766
2, 0, 73, 18, -2.2958827, 41, 37, 77, 19, 49, 57, 41, 41, 38, 999999, 0, 3, 3899
2, 0, 72, 17, -2.421357, 39, 35, 77, 21, 49, 57, 39, 39, 43, 999999, 0, 3, 4033
2, 0, 72, 17, -2.4699247, 39, 35, 77, 21, 49, 57, 39, 39, 43, 999999, 0, 3, 4166
2, 0, 72, 16, -2.481221, 38, 34, 78, 22, 50, 58, 38, 38, 47, 999999, 0, 3, 4299
2, 0, 71, 16, -2.483848, 37, 33, 77, 23, 49, 57, 37, 37, 50, 999999, 0, 3, 4433
2, 0, 70, 15, -2.3445678, 35, 31, 77, 25, 49, 57, 35, 35, 52, 999999, 0, 3, 4566
2, 0, 70, 15, -2.2447147, 35, 31, 77, 25, 49, 57, 35, 35, 52, 999999, 0, 3, 4699
2, 0, 69, 14, -2.22149, 33, 29, 77, 27, 49, 57, 33, 33, 39, 999999, 0, 3, 4833
2, 0, 69, 13, -2.0484874, 32, 28, 78, 28, 50, 58, 32, 32, 39, 999999, 0, 3, 4966
2, 0, 69, 13, -1.7549074, 32, 28, 78, 28, 50, 58, 32, 32, 39, 999999, 0, 3, 5099
2, 0, 69, 12, -1.6866323, 31, 27, 79, 29, 51, 59, 31, 31, 48, 999999, 0, 3, 5233
2, 0, 68, 11, -2.2217598, 29, 25, 79, 31, 51, 59, 29, 29, 50, 999999, 0, 3, 5366
2, 0, 68, 11, -2.866193, 29, 25, 79, 31, 51, 59, 29, 29, 50, 999999, 0, 3, 5499
